customer_id,customer_name,customer_age,total_orders,total_failures,total_revenue,avg_ticket,months_active,first_order,last_order,failure_rate,orders_per_month,had_failure,age_group,failure_group,value_segment,churned,returned_after_failure
WCID5066,Stephen Howard,25,7,0,1968.17,281.1671,4,2023-03-09,2023-12-24,0.0,1.75,False,18–29,0 — Sem falha,Médio Valor,False,False
WCID5067,Debra Hoffman,49,11,2,3240.89,294.6264,6,2023-01-24,2023-12-07,0.1818,1.8333,True,45–59,2 — Duas falhas,VIP,False,True
WCID5068,Steven Wilson,43,10,2,2727.42,272.742,7,2023-01-06,2023-10-25,0.2,1.4286,True,30–44,2 — Duas falhas,Alto Valor,False,True
WCID5069,Alyssa Ochoa,21,4,0,1665.25,416.3125,4,2023-01-01,2023-08-07,0.0,1.0,False,18–29,0 — Sem falha,Médio Valor,False,False
WCID5070,John Martinez,31,9,1,3100.7,344.5222,6,2023-01-27,2023-12-31,0.1111,1.5,True,30–44,1 — Uma falha,VIP,False,True
WCID5071,Anthony Rodriguez,38,7,2,1662.18,237.4543,4,2023-04-21,2023-10-15,0.2857,1.75,True,30–44,2 — Duas falhas,Médio Valor,False,True
WCID5072,Samantha Potter,73,8,2,2127.63,265.9538,7,2023-01-13,2023-11-28,0.25,1.1429,True,60+,2 — Duas falhas,Médio Valor,False,True
WCID5073,George Daniels,67,11,4,3198.38,290.7618,9,2023-03-02,2023-12-24,0.3636,1.2222,True,60+,3+ — Múltiplas falhas,VIP,False,True
WCID5074,Stephanie Taylor,49,6,1,2179.14,363.19,6,2023-01-25,2023-11-06,0.1667,1.0,True,45–59,1 — Uma falha,Alto Valor,False,True
WCID5075,Ruben Stevenson,24,3,1,871.96,290.6533,3,2023-02-27,2023-06-02,0.3333,1.0,True,18–29,1 — Uma falha,Baixo Valor,False,True
WCID5076,Rachel Butler,59,9,2,2453.15,272.5722,7,2023-01-08,2023-11-21,0.2222,1.2857,True,45–59,2 — Duas falhas,Alto Valor,False,True
WCID5077,Andrew Schmidt,31,8,2,2684.07,335.5087,7,2023-01-11,2023-12-07,0.25,1.1429,True,30–44,2 — Duas falhas,Alto Valor,False,True
WCID5078,Stephanie Lin,77,11,1,2716.38,246.9436,8,2023-01-01,2023-12-12,0.0909,1.375,True,60+,1 — Uma falha,Alto Valor,False,True
WCID5079,Robert Ferrell,62,9,1,2217.11,246.3456,8,2023-03-05,2023-12-31,0.1111,1.125,True,60+,1 — Uma falha,Alto Valor,False,True
WCID5080,Jennifer Davis,56,12,2,3209.08,267.4233,8,2023-01-21,2023-12-24,0.1667,1.5,True,45–59,2 — Duas falhas,VIP,False,True
WCID5081,Mr. Gregory Lane MD,66,8,1,2337.47,292.1838,4,2023-02-07,2023-08-17,0.125,2.0,True,60+,1 — Uma falha,Alto Valor,False,True
WCID5082,Jennifer Norris,62,8,0,2003.34,250.4175,6,2023-02-02,2023-12-13,0.0,1.3333,False,60+,0 — Sem falha,Médio Valor,False,False
WCID5083,Nicole James,47,2,0,417.79,208.895,2,2023-04-24,2023-09-03,0.0,1.0,False,45–59,0 — Sem falha,Baixo Valor,False,False
WCID5084,Matthew Powers,32,6,0,1117.11,186.185,6,2023-03-27,2023-11-22,0.0,1.0,False,30–44,0 — Sem falha,Baixo Valor,False,False
WCID5085,Paul Mclean,80,12,2,4159.39,346.6158,6,2023-01-20,2023-11-27,0.1667,2.0,True,60+,2 — Duas falhas,VIP,False,True
WCID5086,Kevin Henry,71,2,0,914.52,457.26,2,2023-02-03,2023-03-04,0.0,1.0,False,60+,0 — Sem falha,Baixo Valor,False,False
WCID5087,David Hines,62,12,2,2775.57,231.2975,9,2023-02-20,2023-11-26,0.1667,1.3333,True,60+,2 — Duas falhas,Alto Valor,False,True
WCID5088,Mrs. Heidi Gray,35,11,1,3055.62,277.7836,6,2023-01-08,2023-12-29,0.0909,1.8333,True,30–44,1 — Uma falha,VIP,False,True
WCID5089,Sally Saunders,47,8,1,1642.73,205.3412,7,2023-02-04,2023-12-08,0.125,1.1429,True,45–59,1 — Uma falha,Médio Valor,False,False
WCID5090,David Bender,63,5,0,1263.41,252.682,5,2023-02-14,2023-12-15,0.0,1.0,False,60+,0 — Sem falha,Baixo Valor,False,False
WCID5091,Eric Taylor,53,5,0,1417.7,283.54,4,2023-04-10,2023-11-11,0.0,1.25,False,45–59,0 — Sem falha,Baixo Valor,False,False
WCID5092,William Golden,79,13,1,3972.31,305.5623,9,2023-01-07,2023-11-07,0.0769,1.4444,True,60+,1 — Uma falha,VIP,False,False
WCID5093,Kristi Pham,32,7,0,1642.46,234.6371,7,2023-01-13,2023-10-22,0.0,1.0,False,30–44,0 — Sem falha,Médio Valor,False,False
WCID5094,Ryan Glover,60,7,0,1964.36,280.6229,5,2023-05-05,2023-10-08,0.0,1.4,False,45–59,0 — Sem falha,Médio Valor,False,False
WCID5095,Mary Bradley,89,7,0,2015.14,287.8771,6,2023-02-04,2023-11-09,0.0,1.1667,False,60+,0 — Sem falha,Médio Valor,False,False
WCID5096,Nicole Manning,56,7,0,1802.43,257.49,5,2023-02-18,2023-12-16,0.0,1.4,False,45–59,0 — Sem falha,Médio Valor,False,False
WCID5097,Sandra Porter,43,11,1,1896.89,172.4445,7,2023-01-05,2023-12-13,0.0909,1.5714,True,30–44,1 — Uma falha,Médio Valor,False,True
WCID5098,Courtney Thomas,49,13,0,4980.17,383.09,8,2023-01-29,2023-11-28,0.0,1.625,False,45–59,0 — Sem falha,VIP,False,False
WCID5099,Anthony Acosta,65,13,1,3530.32,271.5631,8,2023-01-26,2023-12-08,0.0769,1.625,True,60+,1 — Uma falha,VIP,False,True
WCID5100,Mark Orr,36,6,0,1227.25,204.5417,5,2023-02-16,2023-12-27,0.0,1.2,False,30–44,0 — Sem falha,Baixo Valor,False,False
WCID5101,Christina Walker,73,9,1,2336.94,259.66,6,2023-03-21,2023-12-09,0.1111,1.5,True,60+,1 — Uma falha,Alto Valor,False,True
WCID5102,James Branch,60,10,1,2745.44,274.544,8,2023-01-16,2023-12-15,0.1,1.25,True,45–59,1 — Uma falha,Alto Valor,False,True
WCID5103,Kelsey Christensen,39,11,0,2895.82,263.2564,9,2023-02-02,2023-12-17,0.0,1.2222,False,30–44,0 — Sem falha,VIP,False,False
WCID5104,Sherry Taylor,88,7,1,2759.62,394.2314,6,2023-03-26,2023-12-07,0.1429,1.1667,True,60+,1 — Uma falha,Alto Valor,False,True
WCID5105,Raven Gonzalez,39,5,0,1532.85,306.57,4,2023-03-03,2023-10-15,0.0,1.25,False,30–44,0 — Sem falha,Baixo Valor,False,False
WCID5106,Ashley Clark,68,8,0,2249.88,281.235,7,2023-01-10,2023-12-23,0.0,1.1429,False,60+,0 — Sem falha,Alto Valor,False,False
WCID5107,Joyce Sims,67,12,3,2973.49,247.7908,7,2023-01-18,2023-11-10,0.25,1.7143,True,60+,3+ — Múltiplas falhas,VIP,False,True
WCID5108,Thomas Taylor,46,9,1,2589.37,287.7078,8,2023-04-10,2023-12-12,0.1111,1.125,True,45–59,1 — Uma falha,Alto Valor,False,True
WCID5109,Julia Johnson,24,9,0,1861.18,206.7978,6,2023-01-17,2023-12-24,0.0,1.5,False,18–29,0 — Sem falha,Médio Valor,False,False
WCID5110,James Black,70,7,1,1663.77,237.6814,6,2023-04-11,2023-12-01,0.1429,1.1667,True,60+,1 — Uma falha,Médio Valor,False,True
WCID5111,Peter Daniels,72,6,1,1708.07,284.6783,4,2023-02-05,2023-08-10,0.1667,1.5,True,60+,1 — Uma falha,Médio Valor,False,True
WCID5112,Yvonne Moran,84,3,0,724.93,241.6433,3,2023-03-03,2023-11-28,0.0,1.0,False,60+,0 — Sem falha,Baixo Valor,False,False
WCID5113,Mr. Austin Lester,34,10,1,3056.69,305.669,8,2023-02-24,2023-12-26,0.1,1.25,True,30–44,1 — Uma falha,VIP,False,True
WCID5114,Jasmine Lee,57,8,3,1544.95,193.1187,6,2023-01-01,2023-11-21,0.375,1.3333,True,45–59,3+ — Múltiplas falhas,Baixo Valor,False,True
WCID5115,Jo Powers,28,10,1,2617.7,261.77,7,2023-01-09,2023-12-25,0.1,1.4286,True,18–29,1 — Uma falha,Alto Valor,False,True
WCID5116,Brian Kirk,30,7,0,1389.7,198.5286,5,2023-02-02,2023-12-25,0.0,1.4,False,18–29,0 — Sem falha,Baixo Valor,False,False
WCID5117,David Cline,81,8,2,2798.81,349.8512,7,2023-01-13,2023-12-11,0.25,1.1429,True,60+,2 — Duas falhas,Alto Valor,False,True
WCID5118,Stephanie Love,83,7,0,1723.47,246.21,7,2023-03-26,2023-12-29,0.0,1.0,False,60+,0 — Sem falha,Médio Valor,False,False
WCID5119,Richard Anderson,33,9,3,2033.47,225.9411,7,2023-02-19,2023-12-03,0.3333,1.2857,True,30–44,3+ — Múltiplas falhas,Médio Valor,False,True
WCID5120,Dawn Williams,82,7,2,2823.98,403.4257,5,2023-02-19,2023-12-31,0.2857,1.4,True,60+,2 — Duas falhas,Alto Valor,False,True
WCID5121,Joel Stephenson,75,5,1,1461.41,292.282,4,2023-02-10,2023-11-14,0.2,1.25,True,60+,1 — Uma falha,Baixo Valor,False,True
WCID5122,Cynthia Johnson,28,8,0,2675.47,334.4337,7,2023-01-21,2023-10-10,0.0,1.1429,False,18–29,0 — Sem falha,Alto Valor,False,False
WCID5123,James Young,56,8,1,2885.78,360.7225,6,2023-02-10,2023-09-08,0.125,1.3333,True,45–59,1 — Uma falha,VIP,False,True
WCID5124,Brittany Martin,73,8,1,1953.48,244.185,6,2023-01-12,2023-10-14,0.125,1.3333,True,60+,1 — Uma falha,Médio Valor,False,True
WCID5125,Hunter Smith,33,12,2,3465.28,288.7733,7,2023-01-20,2023-11-18,0.1667,1.7143,True,30–44,2 — Duas falhas,VIP,False,True
WCID5126,Eileen Humphrey,65,7,0,2491.63,355.9471,6,2023-02-02,2023-12-15,0.0,1.1667,False,60+,0 — Sem falha,Alto Valor,False,False
WCID5127,Cheryl Wright,78,6,1,3214.93,535.8217,5,2023-04-15,2023-11-15,0.1667,1.2,True,60+,1 — Uma falha,VIP,False,True
WCID5128,Shaun Long,32,11,0,2935.02,266.82,7,2023-01-02,2023-12-14,0.0,1.5714,False,30–44,0 — Sem falha,VIP,False,False
WCID5129,Christopher Nguyen,45,12,1,3785.77,315.4808,6,2023-01-03,2023-12-26,0.0833,2.0,True,30–44,1 — Uma falha,VIP,False,True
WCID5130,Ashley Gonzales,88,7,0,2145.03,306.4329,6,2023-02-02,2023-10-26,0.0,1.1667,False,60+,0 — Sem falha,Médio Valor,False,False
WCID5131,James Vargas,78,4,3,1103.58,275.895,4,2023-02-22,2023-12-19,0.75,1.0,True,60+,3+ — Múltiplas falhas,Baixo Valor,False,True
WCID5132,Dawn Maxwell,40,9,2,2762.13,306.9033,7,2023-01-11,2023-11-30,0.2222,1.2857,True,30–44,2 — Duas falhas,Alto Valor,False,True
WCID5133,Angela Graves,18,6,0,1553.96,258.9933,5,2023-03-24,2023-11-02,0.0,1.2,False,,0 — Sem falha,Baixo Valor,False,False
WCID5134,Marcus Anderson,67,7,2,2015.59,287.9414,6,2023-01-13,2023-12-22,0.2857,1.1667,True,60+,2 — Duas falhas,Médio Valor,False,True
WCID5135,Madison Nelson,23,6,3,1792.85,298.8083,5,2023-01-04,2023-12-25,0.5,1.2,True,18–29,3+ — Múltiplas falhas,Médio Valor,False,True
WCID5136,Yvette Nicholson,58,8,1,1958.77,244.8462,6,2023-02-05,2023-11-30,0.125,1.3333,True,45–59,1 — Uma falha,Médio Valor,False,True
WCID5137,Brian Williams,77,12,3,3146.68,262.2233,8,2023-01-11,2023-12-28,0.25,1.5,True,60+,3+ — Múltiplas falhas,VIP,False,True
WCID5138,Kimberly Dennis,75,3,1,1018.79,339.5967,3,2023-04-11,2023-11-18,0.3333,1.0,True,60+,1 — Uma falha,Baixo Valor,False,True
WCID5139,Shannon Cross,80,5,1,752.44,150.488,5,2023-03-07,2023-10-25,0.2,1.0,True,60+,1 — Uma falha,Baixo Valor,False,True
WCID5140,Sara Kim,52,2,0,832.45,416.225,2,2023-05-21,2023-09-27,0.0,1.0,False,45–59,0 — Sem falha,Baixo Valor,False,False
WCID5141,Carlos Harris,28,7,0,1641.82,234.5457,5,2023-05-16,2023-12-24,0.0,1.4,False,18–29,0 — Sem falha,Médio Valor,False,False
WCID5142,Jennifer Leon,44,6,0,1898.6,316.4333,6,2023-01-12,2023-11-15,0.0,1.0,False,30–44,0 — Sem falha,Médio Valor,False,False
WCID5143,Shane Powell,63,7,0,1966.8,280.9714,7,2023-01-09,2023-12-13,0.0,1.0,False,60+,0 — Sem falha,Médio Valor,False,False
WCID5144,Donald Horton,37,4,1,2146.1,536.525,4,2023-01-11,2023-09-10,0.25,1.0,True,30–44,1 — Uma falha,Médio Valor,False,True
WCID5145,Joshua Davis,34,9,2,3386.34,376.26,8,2023-02-13,2023-11-26,0.2222,1.125,True,30–44,2 — Duas falhas,VIP,False,True
WCID5146,Cindy Lucas,33,5,0,1647.85,329.57,3,2023-02-04,2023-08-05,0.0,1.6667,False,30–44,0 — Sem falha,Médio Valor,False,False
WCID5147,Katie Mcdaniel,60,13,0,3868.55,297.5808,8,2023-01-12,2023-12-12,0.0,1.625,False,45–59,0 — Sem falha,VIP,False,False
WCID5148,Michael Brown,87,6,0,2045.71,340.9517,6,2023-01-25,2023-12-29,0.0,1.0,False,60+,0 — Sem falha,Médio Valor,False,False
WCID5149,Taylor Davis,90,7,2,2121.21,303.03,5,2023-01-11,2023-10-06,0.2857,1.4,True,60+,2 — Duas falhas,Médio Valor,False,True
WCID5150,Peggy Howe,30,5,1,1016.07,203.214,5,2023-03-18,2023-12-14,0.2,1.0,True,18–29,1 — Uma falha,Baixo Valor,False,False
WCID5151,Joseph Reyes,34,8,0,2182.19,272.7738,6,2023-02-13,2023-10-06,0.0,1.3333,False,30–44,0 — Sem falha,Alto Valor,False,False
WCID5152,Amber Smith,90,10,1,2379.02,237.902,6,2023-01-16,2023-11-12,0.1,1.6667,True,60+,1 — Uma falha,Alto Valor,False,True
WCID5153,Brandy Reed,67,8,1,2028.06,253.5075,6,2023-01-13,2023-12-21,0.125,1.3333,True,60+,1 — Uma falha,Médio Valor,False,True
WCID5154,Scott Clay,31,8,1,2447.37,305.9212,5,2023-01-02,2023-12-05,0.125,1.6,True,30–44,1 — Uma falha,Alto Valor,False,True
WCID5155,Brittany Morse,34,13,2,2373.06,182.5431,8,2023-01-03,2023-12-09,0.1538,1.625,True,30–44,2 — Duas falhas,Alto Valor,False,True
WCID5156,Kevin Tran,46,11,0,1760.51,160.0464,8,2023-01-21,2023-12-26,0.0,1.375,False,45–59,0 — Sem falha,Médio Valor,False,False
WCID5157,Jason Hall,49,9,1,1957.8,217.5333,7,2023-01-10,2023-12-19,0.1111,1.2857,True,45–59,1 — Uma falha,Médio Valor,False,True
WCID5158,Terry Carlson,32,10,2,2894.95,289.495,5,2023-03-05,2023-12-24,0.2,2.0,True,30–44,2 — Duas falhas,VIP,False,True
WCID5159,Lisa Brown,24,11,0,2898.0,263.4545,8,2023-02-04,2023-12-06,0.0,1.375,False,18–29,0 — Sem falha,VIP,False,False
WCID5160,Jermaine Johnson,51,4,0,1534.04,383.51,2,2023-01-18,2023-04-30,0.0,2.0,False,45–59,0 — Sem falha,Baixo Valor,False,False
WCID5161,Lisa Meza,81,8,0,1780.69,222.5862,5,2023-02-05,2023-10-10,0.0,1.6,False,60+,0 — Sem falha,Médio Valor,False,False
WCID5162,Mr. Marcus Park,54,10,1,2566.56,256.656,9,2023-01-06,2023-11-06,0.1,1.1111,True,45–59,1 — Uma falha,Alto Valor,False,True
WCID5163,Michael Faulkner,29,14,3,3762.72,268.7657,8,2023-01-31,2023-11-23,0.2143,1.75,True,18–29,3+ — Múltiplas falhas,VIP,False,True
WCID5164,Keith Jones,27,7,2,1421.91,203.13,4,2023-01-17,2023-10-03,0.2857,1.75,True,18–29,2 — Duas falhas,Baixo Valor,False,True
WCID5165,David Mccoy,59,7,4,2031.42,290.2029,5,2023-01-16,2023-08-23,0.5714,1.4,True,45–59,3+ — Múltiplas falhas,Médio Valor,False,True
WCID5166,Kyle Weiss,49,7,0,2074.0,296.2857,4,2023-01-13,2023-12-30,0.0,1.75,False,45–59,0 — Sem falha,Médio Valor,False,False
WCID5167,Tyler Grant,32,10,1,3000.86,300.086,6,2023-03-09,2023-11-06,0.1,1.6667,True,30–44,1 — Uma falha,VIP,False,True
WCID5168,Matthew Price,34,7,1,1955.08,279.2971,5,2023-04-02,2023-11-01,0.1429,1.4,True,30–44,1 — Uma falha,Médio Valor,False,True
WCID5169,Karen Hess,60,4,1,770.6,192.65,4,2023-08-18,2023-12-04,0.25,1.0,True,45–59,1 — Uma falha,Baixo Valor,False,True
WCID5170,Elijah Taylor,30,16,2,5492.62,343.2888,11,2023-01-02,2023-12-07,0.125,1.4545,True,18–29,2 — Duas falhas,VIP,False,True
