driver_id,driver_name,total_deliveries,total_failures,hist_failure_rate,total_revenue,avg_ticket,trips,driver_age,exp_tier,rate_h1,rate_h2,delta_h1_h2,improved_h1_h2,consistency_cv,months_active,intervention_quadrant,estimated_failure_cost,risk_flag
WDID09895,Jason Moss,11,4,0.3636,1754.27,159.4791,18,18,Novato (≤25 trips),0.6,0.1667,-0.4333,True,1.186,9,Instável — Coaching,283.3022,True
WDID09896,Anthony Robertson,11,4,0.3636,3493.51,317.5918,77,18,Experiente (51+ trips),0.4,0.3333,-0.0667,True,1.332,7,Instável — Coaching,283.3022,True
WDID09897,Brandon Chavez,7,0,0.0,1664.32,237.76,76,18,Experiente (51+ trips),,,,,0.0,5,Referência — Boas Práticas,0.0,False
WDID09898,Judith Howard,7,0,0.0,2391.32,341.6171,58,18,Experiente (51+ trips),,,,,0.0,5,Referência — Boas Práticas,0.0,False
WDID09899,Stephen Patton,7,0,0.0,1930.32,275.76,47,18,Intermediário (26–50 trips),,,,,0.0,5,Referência — Boas Práticas,0.0,False
WDID09900,Melissa Mcbride,7,0,0.0,2059.98,294.2829,37,18,Intermediário (26–50 trips),,,,,0.0,4,Referência — Boas Práticas,0.0,False
WDID09901,Cassandra Nguyen,7,0,0.0,2432.71,347.53,42,18,Intermediário (26–50 trips),,,,,0.0,6,Referência — Boas Práticas,0.0,False
WDID09902,Patricia Vance,7,0,0.0,2095.44,299.3486,38,18,Intermediário (26–50 trips),,,,,0.0,6,Referência — Boas Práticas,0.0,False
WDID09903,Paul Gomez,7,0,0.0,1909.23,272.7471,53,18,Experiente (51+ trips),,,,,0.0,6,Referência — Boas Práticas,0.0,False
WDID09904,Chris Davis,7,0,0.0,1840.19,262.8843,43,18,Intermediário (26–50 trips),,,,,0.0,7,Referência — Boas Práticas,0.0,False
WDID09905,Brandy Martinez,7,0,0.0,1748.13,249.7329,50,18,Intermediário (26–50 trips),,,,,0.0,5,Referência — Boas Práticas,0.0,False
WDID09906,Michael Willis,7,0,0.0,1624.61,232.0871,23,18,Novato (≤25 trips),,,,,0.0,6,Referência — Boas Práticas,0.0,False
WDID09907,Brandy Pittman,7,0,0.0,1456.84,208.12,50,18,Intermediário (26–50 trips),,,,,0.0,4,Referência — Boas Práticas,0.0,False
WDID09908,Ann Hall,7,0,0.0,1660.72,237.2457,64,18,Experiente (51+ trips),,,,,0.0,4,Referência — Boas Práticas,0.0,False
WDID09909,John Walker,7,0,0.0,1311.36,187.3371,15,18,Novato (≤25 trips),,,,,0.0,6,Referência — Boas Práticas,0.0,False
WDID09910,Oscar Roman,7,0,0.0,994.27,142.0386,48,18,Intermediário (26–50 trips),,,,,0.0,5,Referência — Boas Práticas,0.0,False
WDID09911,Kimberly Hayes,7,0,0.0,1915.92,273.7029,73,18,Experiente (51+ trips),,,,,0.0,5,Referência — Boas Práticas,0.0,False
WDID09912,Michael Delgado,7,0,0.0,2005.18,286.4543,15,18,Novato (≤25 trips),,,,,0.0,5,Referência — Boas Práticas,0.0,False
WDID09913,Tricia Larsen,7,0,0.0,2744.36,392.0514,78,18,Experiente (51+ trips),,,,,0.0,6,Referência — Boas Práticas,0.0,False
WDID09914,Julie Rosales,7,0,0.0,2294.79,327.8271,18,18,Novato (≤25 trips),,,,,0.0,6,Referência — Boas Práticas,0.0,False
WDID09915,Natasha Graves,7,0,0.0,1470.08,210.0114,56,18,Experiente (51+ trips),,,,,0.0,5,Referência — Boas Práticas,0.0,False
WDID09916,Paul Lam,7,0,0.0,1634.25,233.4643,49,18,Intermediário (26–50 trips),,,,,0.0,6,Referência — Boas Práticas,0.0,False
WDID09917,Jennifer Zimmerman,7,0,0.0,2055.09,293.5843,30,18,Intermediário (26–50 trips),,,,,0.0,5,Referência — Boas Práticas,0.0,False
WDID09918,Shelby Wilson,7,0,0.0,1667.89,238.27,58,18,Experiente (51+ trips),,,,,0.0,5,Referência — Boas Práticas,0.0,False
WDID09919,John Rodriguez,7,0,0.0,2300.21,328.6014,65,18,Experiente (51+ trips),,,,,0.0,5,Referência — Boas Práticas,0.0,False
WDID09920,William Brown,7,0,0.0,2679.97,382.8529,29,18,Intermediário (26–50 trips),,,,,0.0,6,Referência — Boas Práticas,0.0,False
WDID09921,Charles Hernandez,7,0,0.0,1813.81,259.1157,49,18,Intermediário (26–50 trips),,,,,0.0,5,Referência — Boas Práticas,0.0,False
WDID09922,Jacob Li,7,0,0.0,1759.82,251.4029,24,18,Novato (≤25 trips),,,,,0.0,6,Referência — Boas Práticas,0.0,False
WDID09923,Eric Lawson,7,0,0.0,1953.02,279.0029,21,18,Novato (≤25 trips),,,,,0.0,6,Referência — Boas Práticas,0.0,False
WDID09924,Nathan Davis,7,0,0.0,1896.73,270.9614,18,18,Novato (≤25 trips),,,,,0.0,5,Referência — Boas Práticas,0.0,False
WDID09925,Rebecca Stephens,7,0,0.0,2145.23,306.4614,29,18,Intermediário (26–50 trips),,,,,0.0,5,Referência — Boas Práticas,0.0,False
WDID09926,Laura Pearson,7,0,0.0,2960.25,422.8929,18,18,Novato (≤25 trips),,,,,0.0,4,Referência — Boas Práticas,0.0,False
WDID09927,Stephanie Morgan,7,0,0.0,2789.41,398.4871,16,18,Novato (≤25 trips),,,,,0.0,6,Referência — Boas Práticas,0.0,False
WDID09928,Kimberly Johnson,7,0,0.0,2276.95,325.2786,25,18,Novato (≤25 trips),,,,,0.0,7,Referência — Boas Práticas,0.0,False
WDID09929,Kimberly Hall,7,0,0.0,2109.07,301.2957,74,18,Experiente (51+ trips),,,,,0.0,5,Referência — Boas Práticas,0.0,False
WDID09930,Nicholas Johnson,7,0,0.0,2160.89,308.6986,64,18,Experiente (51+ trips),,,,,0.0,5,Referência — Boas Práticas,0.0,False
WDID09931,Christopher Buck,7,0,0.0,1968.26,281.18,24,18,Novato (≤25 trips),,,,,0.0,6,Referência — Boas Práticas,0.0,False
WDID09932,Luis Baker,7,0,0.0,1647.98,235.4257,66,18,Experiente (51+ trips),,,,,0.0,5,Referência — Boas Práticas,0.0,False
WDID09933,Nicholas Stewart,7,0,0.0,1677.68,239.6686,23,18,Novato (≤25 trips),,,,,0.0,6,Referência — Boas Práticas,0.0,False
WDID09934,Robert Hogan,7,0,0.0,1583.25,226.1786,52,18,Experiente (51+ trips),,,,,0.0,6,Referência — Boas Práticas,0.0,False
WDID09935,Cody Chavez,7,0,0.0,1629.55,232.7929,74,18,Experiente (51+ trips),,,,,0.0,4,Referência — Boas Práticas,0.0,False
WDID09936,Alicia Terry,7,0,0.0,1356.61,193.8014,37,18,Intermediário (26–50 trips),,,,,0.0,6,Referência — Boas Práticas,0.0,False
WDID09937,Daniel Mitchell,7,0,0.0,2688.71,384.1014,56,18,Experiente (51+ trips),,,,,0.0,6,Referência — Boas Práticas,0.0,False
WDID09938,Thomas Mcfarland,7,0,0.0,1784.7,254.9571,15,18,Novato (≤25 trips),,,,,0.0,5,Referência — Boas Práticas,0.0,False
WDID09939,Brian Douglas,7,0,0.0,2391.95,341.7071,21,18,Novato (≤25 trips),,,,,0.0,4,Referência — Boas Práticas,0.0,False
WDID09940,Jessica Mercer,7,0,0.0,2288.56,326.9371,34,18,Intermediário (26–50 trips),,,,,0.0,6,Referência — Boas Práticas,0.0,False
WDID09941,Kimberly Holden,7,0,0.0,2037.09,291.0129,41,18,Intermediário (26–50 trips),,,,,0.0,6,Referência — Boas Práticas,0.0,False
WDID09942,Richard Williams,7,0,0.0,2267.33,323.9043,68,18,Experiente (51+ trips),,,,,0.0,6,Referência — Boas Práticas,0.0,False
WDID09943,Shannon Preston,7,0,0.0,1884.16,269.1657,73,18,Experiente (51+ trips),,,,,0.0,5,Referência — Boas Práticas,0.0,False
WDID09944,David Farmer,7,0,0.0,1987.03,283.8614,11,18,Novato (≤25 trips),,,,,0.0,5,Referência — Boas Práticas,0.0,False
WDID09945,Carly Garrett,7,0,0.0,1918.99,274.1414,33,18,Intermediário (26–50 trips),,,,,0.0,6,Referência — Boas Práticas,0.0,False
WDID09946,Christopher Perez,7,0,0.0,1384.89,197.8414,28,18,Intermediário (26–50 trips),,,,,0.0,4,Referência — Boas Práticas,0.0,False
WDID09947,Brianna Austin,7,0,0.0,1325.78,189.3971,50,18,Intermediário (26–50 trips),,,,,0.0,5,Referência — Boas Práticas,0.0,False
WDID09948,Deborah Foster,7,0,0.0,1418.1,202.5857,12,18,Novato (≤25 trips),,,,,0.0,6,Referência — Boas Práticas,0.0,False
WDID09949,Jordan Holmes,7,0,0.0,2545.93,363.7043,74,18,Experiente (51+ trips),,,,,0.0,7,Referência — Boas Práticas,0.0,False
WDID09950,Matthew Dean,7,0,0.0,1441.18,205.8829,28,18,Intermediário (26–50 trips),,,,,0.0,5,Referência — Boas Práticas,0.0,False
WDID09951,Stephanie Mills,7,0,0.0,1631.24,233.0343,63,18,Experiente (51+ trips),,,,,0.0,5,Referência — Boas Práticas,0.0,False
WDID09952,Matthew Coleman,7,0,0.0,1477.07,211.01,60,18,Experiente (51+ trips),,,,,0.0,5,Referência — Boas Práticas,0.0,False
WDID09953,Jamie Torres,7,0,0.0,1591.85,227.4071,27,18,Intermediário (26–50 trips),,,,,0.0,7,Referência — Boas Práticas,0.0,False
WDID09954,Zachary Thornton,7,0,0.0,1685.6,240.8,48,18,Intermediário (26–50 trips),,,,,0.0,4,Referência — Boas Práticas,0.0,False
WDID09955,Taylor Gray,7,0,0.0,1409.69,201.3843,63,18,Experiente (51+ trips),,,,,0.0,5,Referência — Boas Práticas,0.0,False
WDID09956,Emily Strickland,7,0,0.0,1308.07,186.8671,70,18,Experiente (51+ trips),,,,,0.0,4,Referência — Boas Práticas,0.0,False
WDID09957,Cindy West,7,0,0.0,1519.92,217.1314,54,18,Experiente (51+ trips),,,,,0.0,6,Referência — Boas Práticas,0.0,False
WDID09958,Robert Sherman,7,0,0.0,1635.21,233.6014,48,18,Intermediário (26–50 trips),,,,,0.0,5,Referência — Boas Práticas,0.0,False
WDID09959,Michelle Bowen,7,0,0.0,1596.21,228.03,34,18,Intermediário (26–50 trips),,,,,0.0,6,Referência — Boas Práticas,0.0,False
WDID09960,Christopher West,7,0,0.0,2027.51,289.6443,26,18,Intermediário (26–50 trips),,,,,0.0,6,Referência — Boas Práticas,0.0,False
WDID09961,Victor Bennett,7,0,0.0,2383.61,340.5157,24,18,Novato (≤25 trips),,,,,0.0,5,Referência — Boas Práticas,0.0,False
WDID09962,Frank Smith,7,0,0.0,1668.88,238.4114,70,18,Experiente (51+ trips),,,,,0.0,3,Referência — Boas Práticas,0.0,False
WDID09963,Sherri Wright,7,0,0.0,1867.53,266.79,52,18,Experiente (51+ trips),,,,,0.0,6,Referência — Boas Práticas,0.0,False
WDID09964,Barry Hooper,7,0,0.0,1435.1,205.0143,68,18,Experiente (51+ trips),,,,,0.0,5,Referência — Boas Práticas,0.0,False
WDID09965,Brandon Rivers,7,0,0.0,1434.78,204.9686,75,18,Experiente (51+ trips),,,,,0.0,5,Referência — Boas Práticas,0.0,False
WDID09966,Amy Cardenas,7,0,0.0,1308.1,186.8714,66,18,Experiente (51+ trips),,,,,0.0,5,Referência — Boas Práticas,0.0,False
WDID09967,Joshua Campbell,7,0,0.0,1595.5,227.9286,23,18,Novato (≤25 trips),,,,,0.0,5,Referência — Boas Práticas,0.0,False
WDID09968,Antonio Washington,7,0,0.0,2120.22,302.8886,39,18,Intermediário (26–50 trips),,,,,0.0,6,Referência — Boas Práticas,0.0,False
WDID09969,Andrew Mcfarland,7,0,0.0,1925.3,275.0429,76,18,Experiente (51+ trips),,,,,0.0,5,Referência — Boas Práticas,0.0,False
WDID09970,Bryce Estrada,7,0,0.0,1496.73,213.8186,64,18,Experiente (51+ trips),,,,,0.0,5,Referência — Boas Práticas,0.0,False
WDID09971,Christine Dennis,7,0,0.0,1527.9,218.2714,20,18,Novato (≤25 trips),,,,,0.0,5,Referência — Boas Práticas,0.0,False
WDID09972,Anthony Dixon,7,0,0.0,1322.02,188.86,13,18,Novato (≤25 trips),,,,,0.0,5,Referência — Boas Práticas,0.0,False
WDID09973,Miguel Hicks,7,0,0.0,1382.6,197.5143,52,18,Experiente (51+ trips),,,,,0.0,6,Referência — Boas Práticas,0.0,False
WDID09974,Jillian Morales,7,0,0.0,2080.05,297.15,70,18,Experiente (51+ trips),,,,,0.0,6,Referência — Boas Práticas,0.0,False
WDID09975,Corey Morales,7,0,0.0,1756.63,250.9471,12,18,Novato (≤25 trips),,,,,0.0,6,Referência — Boas Práticas,0.0,False
WDID09976,Stephanie Camacho,7,0,0.0,2509.61,358.5157,20,18,Novato (≤25 trips),,,,,0.0,6,Referência — Boas Práticas,0.0,False
WDID09977,Troy Garcia,7,0,0.0,1896.79,270.97,27,18,Intermediário (26–50 trips),,,,,0.0,5,Referência — Boas Práticas,0.0,False
WDID09978,George Harmon,7,0,0.0,2537.49,362.4986,19,18,Novato (≤25 trips),,,,,0.0,6,Referência — Boas Práticas,0.0,False
WDID09979,Chad Mcguire,7,0,0.0,3241.38,463.0543,25,18,Novato (≤25 trips),,,,,0.0,5,Referência — Boas Práticas,0.0,False
WDID09980,Erin Lawrence,7,0,0.0,2235.95,319.4214,28,18,Intermediário (26–50 trips),,,,,0.0,3,Referência — Boas Práticas,0.0,False
WDID09981,Christopher Peters,7,0,0.0,1991.33,284.4757,42,18,Intermediário (26–50 trips),,,,,0.0,5,Referência — Boas Práticas,0.0,False
WDID09982,Kimberly Cannon,7,0,0.0,2076.62,296.66,37,18,Intermediário (26–50 trips),,,,,0.0,7,Referência — Boas Práticas,0.0,False
WDID09983,Lisa Miller,7,0,0.0,2726.85,389.55,44,18,Intermediário (26–50 trips),,,,,0.0,5,Referência — Boas Práticas,0.0,False
WDID09984,Shawn Orr,7,0,0.0,1839.89,262.8414,76,18,Experiente (51+ trips),,,,,0.0,5,Referência — Boas Práticas,0.0,False
WDID09985,Kathryn Tran,7,0,0.0,1604.4,229.2,44,18,Intermediário (26–50 trips),,,,,0.0,6,Referência — Boas Práticas,0.0,False
WDID09986,Monica Randall,7,0,0.0,1730.73,247.2471,19,18,Novato (≤25 trips),,,,,0.0,6,Referência — Boas Práticas,0.0,False
WDID09987,Breanna Floyd,7,0,0.0,1646.49,235.2129,77,18,Experiente (51+ trips),,,,,0.0,6,Referência — Boas Práticas,0.0,False
WDID09988,Denise Thompson,7,0,0.0,1570.12,224.3029,13,18,Novato (≤25 trips),,,,,0.0,4,Referência — Boas Práticas,0.0,False
WDID09989,Cheryl Lee,7,0,0.0,2055.67,293.6671,72,18,Experiente (51+ trips),,,,,0.0,4,Referência — Boas Práticas,0.0,False
WDID09990,Clayton Jones,7,0,0.0,1249.33,178.4757,65,18,Experiente (51+ trips),,,,,0.0,6,Referência — Boas Práticas,0.0,False
WDID09991,Jessica Patterson,7,0,0.0,2619.76,374.2514,35,18,Intermediário (26–50 trips),,,,,0.0,5,Referência — Boas Práticas,0.0,False
WDID09992,Joseph Turner,7,0,0.0,1650.37,235.7671,16,18,Novato (≤25 trips),,,,,0.0,5,Referência — Boas Práticas,0.0,False
WDID09993,Todd Garcia,7,0,0.0,1649.55,235.65,70,18,Experiente (51+ trips),,,,,0.0,6,Referência — Boas Práticas,0.0,False
WDID09994,Michele Hawkins,7,0,0.0,1272.71,181.8157,24,18,Novato (≤25 trips),,,,,0.0,7,Referência — Boas Práticas,0.0,False
WDID09995,John Cox,7,0,0.0,1921.47,274.4957,27,18,Intermediário (26–50 trips),,,,,0.0,5,Referência — Boas Práticas,0.0,False
WDID09996,Megan Ward,7,0,0.0,1700.87,242.9814,78,18,Experiente (51+ trips),,,,,0.0,5,Referência — Boas Práticas,0.0,False
WDID09997,Tracy Johnson,7,0,0.0,2194.74,313.5343,71,18,Experiente (51+ trips),,,,,0.0,4,Referência — Boas Práticas,0.0,False
WDID09998,Alexandra Thompson,7,0,0.0,2081.16,297.3086,26,18,Intermediário (26–50 trips),,,,,0.0,6,Referência — Boas Práticas,0.0,False
WDID09999,Richard Johnson,7,0,0.0,2860.94,408.7057,78,18,Experiente (51+ trips),,,,,0.0,5,Referência — Boas Práticas,0.0,False
WDID10000,Mrs. Sarah Carpenter MD,7,0,0.0,2588.34,369.7629,46,18,Intermediário (26–50 trips),,,,,0.0,4,Referência — Boas Práticas,0.0,False
WDID10001,Thomas Terry,7,0,0.0,2161.9,308.8429,15,18,Novato (≤25 trips),,,,,0.0,4,Referência — Boas Práticas,0.0,False
WDID10002,Lindsey Gonzales,7,0,0.0,2849.25,407.0357,49,18,Intermediário (26–50 trips),,,,,0.0,4,Referência — Boas Práticas,0.0,False
WDID10003,Crystal Williams,7,0,0.0,1953.86,279.1229,56,18,Experiente (51+ trips),,,,,0.0,5,Referência — Boas Práticas,0.0,False
WDID10004,Katherine Estes,7,0,0.0,2504.01,357.7157,13,18,Novato (≤25 trips),,,,,0.0,6,Referência — Boas Práticas,0.0,False
WDID10005,Jeremy Allen,7,0,0.0,2332.77,333.2529,31,18,Intermediário (26–50 trips),,,,,0.0,6,Referência — Boas Práticas,0.0,False
WDID10006,Wanda Harmon,7,0,0.0,2083.46,297.6371,63,18,Experiente (51+ trips),,,,,0.0,6,Referência — Boas Práticas,0.0,False
WDID10007,Andrew Robertson,7,0,0.0,1735.94,247.9914,54,18,Experiente (51+ trips),,,,,0.0,5,Referência — Boas Práticas,0.0,False
WDID10008,Dennis Cox,7,0,0.0,1723.24,246.1771,37,18,Intermediário (26–50 trips),,,,,0.0,5,Referência — Boas Práticas,0.0,False
WDID10009,Tiffany Hardy,7,0,0.0,1786.39,255.1986,58,18,Experiente (51+ trips),,,,,0.0,5,Referência — Boas Práticas,0.0,False
WDID10010,Eric Mcdonald,7,0,0.0,1991.44,284.4914,37,18,Intermediário (26–50 trips),,,,,0.0,5,Referência — Boas Práticas,0.0,False
WDID10011,Christopher Hughes,7,0,0.0,1918.39,274.0557,61,18,Experiente (51+ trips),,,,,0.0,6,Referência — Boas Práticas,0.0,False
WDID10012,Stacy Compton,7,0,0.0,1751.5,250.2143,25,18,Novato (≤25 trips),,,,,0.0,5,Referência — Boas Práticas,0.0,False
WDID10013,Gregory Moss,7,0,0.0,1548.85,221.2643,38,18,Intermediário (26–50 trips),,,,,0.0,6,Referência — Boas Práticas,0.0,False
WDID10014,Veronica Johnson,7,0,0.0,1371.11,195.8729,71,18,Experiente (51+ trips),,,,,0.0,5,Referência — Boas Práticas,0.0,False
WDID10015,Mercedes Quinn,7,0,0.0,1537.53,219.6471,11,18,Novato (≤25 trips),,,,,0.0,6,Referência — Boas Práticas,0.0,False
WDID10016,Vanessa Park,7,0,0.0,1256.01,179.43,46,18,Intermediário (26–50 trips),,,,,0.0,5,Referência — Boas Práticas,0.0,False
WDID10017,Robert Reese,7,0,0.0,1207.87,172.5529,70,18,Experiente (51+ trips),,,,,0.0,6,Referência — Boas Práticas,0.0,False
WDID10018,Jennifer Weaver,7,0,0.0,1272.84,181.8343,24,18,Novato (≤25 trips),,,,,0.0,5,Referência — Boas Práticas,0.0,False
WDID10019,Lisa Swanson,7,0,0.0,1290.13,184.3043,64,18,Experiente (51+ trips),,,,,0.0,5,Referência — Boas Práticas,0.0,False
WDID10020,Joel Hancock,7,0,0.0,1662.99,237.57,56,18,Experiente (51+ trips),,,,,0.0,7,Referência — Boas Práticas,0.0,False
WDID10021,Terry Stewart,7,0,0.0,1513.91,216.2729,13,18,Novato (≤25 trips),,,,,0.0,5,Referência — Boas Práticas,0.0,False
WDID10022,Benjamin Gibson,7,0,0.0,1763.34,251.9057,75,18,Experiente (51+ trips),,,,,0.0,6,Referência — Boas Práticas,0.0,False
WDID10023,Leslie Gibson,7,0,0.0,1708.83,244.1186,15,18,Novato (≤25 trips),,,,,0.0,6,Referência — Boas Práticas,0.0,False
WDID10024,Nathan Sherman,7,0,0.0,1725.34,246.4771,77,18,Experiente (51+ trips),,,,,0.0,7,Referência — Boas Práticas,0.0,False
WDID10025,Michael Jones,7,0,0.0,1815.51,259.3586,65,18,Experiente (51+ trips),,,,,0.0,5,Referência — Boas Práticas,0.0,False
WDID10026,Jasmine Jacobs,7,0,0.0,2095.52,299.36,58,18,Experiente (51+ trips),,,,,0.0,5,Referência — Boas Práticas,0.0,False
WDID10027,Cheryl Benson,7,0,0.0,1694.59,242.0843,21,18,Novato (≤25 trips),,,,,0.0,7,Referência — Boas Práticas,0.0,False
WDID10028,Nicole White,7,0,0.0,1941.5,277.3571,26,18,Intermediário (26–50 trips),,,,,0.0,6,Referência — Boas Práticas,0.0,False
WDID10029,Denise Tran,7,0,0.0,1687.87,241.1243,64,18,Experiente (51+ trips),,,,,0.0,6,Referência — Boas Práticas,0.0,False
WDID10030,Troy Cowan,7,0,0.0,1492.74,213.2486,63,18,Experiente (51+ trips),,,,,0.0,5,Referência — Boas Práticas,0.0,False
WDID10031,Melinda King,7,0,0.0,1410.6,201.5143,13,18,Novato (≤25 trips),,,,,0.0,6,Referência — Boas Práticas,0.0,False
WDID10032,Jennifer Johnson,7,0,0.0,1699.75,242.8214,31,18,Intermediário (26–50 trips),,,,,0.0,5,Referência — Boas Práticas,0.0,False
WDID10033,Walter Miller,7,0,0.0,2038.69,291.2414,45,18,Intermediário (26–50 trips),,,,,0.0,6,Referência — Boas Práticas,0.0,False
WDID10034,Robert Howard Jr.,7,0,0.0,1978.3,282.6143,24,18,Novato (≤25 trips),,,,,0.0,5,Referência — Boas Práticas,0.0,False
WDID10035,Alexis Wilson,7,0,0.0,1806.6,258.0857,12,18,Novato (≤25 trips),,,,,0.0,5,Referência — Boas Práticas,0.0,False
WDID10036,Jason Stevens,7,0,0.0,2502.68,357.5257,66,18,Experiente (51+ trips),,,,,0.0,6,Referência — Boas Práticas,0.0,False
WDID10037,Amanda Ferguson,7,0,0.0,2230.84,318.6914,22,18,Novato (≤25 trips),,,,,0.0,5,Referência — Boas Práticas,0.0,False
WDID10038,Jonathan Torres,7,0,0.0,2456.24,350.8914,23,18,Novato (≤25 trips),,,,,0.0,4,Referência — Boas Práticas,0.0,False
WDID10039,Michelle Hunter,7,0,0.0,1851.69,264.5271,18,18,Novato (≤25 trips),,,,,0.0,5,Referência — Boas Práticas,0.0,False
WDID10040,Roberta Nelson,7,0,0.0,1350.43,192.9186,22,18,Novato (≤25 trips),,,,,0.0,5,Referência — Boas Práticas,0.0,False
WDID10041,Brenda Vargas,7,0,0.0,1213.17,173.31,40,18,Intermediário (26–50 trips),,,,,0.0,4,Referência — Boas Práticas,0.0,False
WDID10042,Kent Oneal,7,0,0.0,2233.74,319.1057,34,18,Intermediário (26–50 trips),,,,,0.0,5,Referência — Boas Práticas,0.0,False
WDID10043,Rita Brown,7,0,0.0,2026.42,289.4886,69,18,Experiente (51+ trips),,,,,0.0,4,Referência — Boas Práticas,0.0,False
WDID10044,Madison Norman,7,0,0.0,1553.62,221.9457,32,18,Intermediário (26–50 trips),,,,,0.0,6,Referência — Boas Práticas,0.0,False
WDID10045,James York,7,0,0.0,1895.25,270.75,54,18,Experiente (51+ trips),,,,,0.0,5,Referência — Boas Práticas,0.0,False
WDID10046,Tanya Bowen,7,0,0.0,1894.0,270.5714,50,18,Intermediário (26–50 trips),,,,,0.0,6,Referência — Boas Práticas,0.0,False
WDID10047,Donald Gonzalez,7,0,0.0,1651.2,235.8857,34,18,Intermediário (26–50 trips),,,,,0.0,6,Referência — Boas Práticas,0.0,False
WDID10048,Janice Ramos,7,0,0.0,2354.25,336.3214,27,18,Intermediário (26–50 trips),,,,,0.0,5,Referência — Boas Práticas,0.0,False
WDID10049,Paula Gray,7,0,0.0,2559.68,365.6686,78,18,Experiente (51+ trips),,,,,0.0,6,Referência — Boas Práticas,0.0,False
WDID10050,Cassandra Hatfield,7,0,0.0,2851.97,407.4243,67,18,Experiente (51+ trips),,,,,0.0,5,Referência — Boas Práticas,0.0,False
